soc_code,occupation_title,task_id,task_description,onet_importance,onet_frequency,economic_index_label,eloundou_beta
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",20768,"Schedule or manage staff, such as volunteer usher corps.",3.27,3.74,unknown,1.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5096,Greet patrons attending entertainment events.,4.35,5.55,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5097,"Examine tickets or passes to verify authenticity, using criteria such as color or date issued.",3.91,4.98,unknown,0.5
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5098,Guide patrons to exits or provide other instructions or assistance in case of emergency.,3.84,3.32,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5099,Maintain order and ensure adherence to safety rules.,3.68,4.85,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5100,"Provide assistance with patrons' special needs, such as helping those with wheelchairs.",3.9,3.76,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5102,Refuse admittance to undesirable persons or persons without tickets or passes.,3.73,3.83,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5103,Settle seating disputes or help solve other customer concerns.,4.04,4.38,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5104,"Assist patrons in finding seats, lighting the way with flashlights, if necessary.",3.7,4.52,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5105,Search for lost articles or for parents of lost children.,3.45,4.21,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5106,Count and record number of tickets collected.,4.29,4.95,none,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5107,Operate refreshment stands during intermission or obtain refreshments for press box patrons during performances.,4.3,5.93,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5108,Verify credentials of patrons desiring entrance into press box and permit only authorized persons to enter.,3.74,5.02,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5109,Distribute programs to patrons.,3.72,4.47,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5111,Work with others to change advertising displays.,3.43,3.65,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5112,Manage inventory or sale of artist merchandise.,3.98,4.24,unknown,1.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5113,Give door checks to patrons who are temporarily leaving establishments.,3.68,5.26,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5114,Manage informational kiosks or displays of event signs or posters.,3.44,4.21,unknown,0.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5115,Page individuals wanted at the box office.,3.37,4.22,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5116,"Provide information about facilities, entertainment options, and rules and regulations.",4.1,5.48,augmentation,1.0
39-3091.00,Amusement and Recreation Attendants,5117,"Record details of attendance, sales, receipts, reservations, or repair activities.",3.68,4.78,unknown,1.0
39-3091.00,Amusement and Recreation Attendants,5118,"Monitor activities to ensure adherence to rules and safety procedures, or arrange for the removal of unruly patrons.",3.72,4.82,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5119,Sell tickets and collect fees from customers.,4.13,4.9,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5120,Keep informed of shut-down and emergency evacuation procedures.,3.9,3.66,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5121,"Clean sporting equipment, vehicles, rides, booths, facilities, or grounds.",3.63,4.37,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5123,Announce or describe amusement park attractions to patrons to entice customers to games and other entertainment.,3.34,4.68,unknown,1.0
39-3091.00,Amusement and Recreation Attendants,5124,"Fasten safety devices for patrons, or provide them with directions for fastening devices.",3.52,4.28,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5125,"Inspect equipment to detect wear and damage and perform minor repairs, adjustments, or maintenance tasks, such as oiling parts.",3.62,4.2,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5126,"Operate, drive, or explain the use of mechanical riding devices or other automatic equipment in amusement parks, carnivals, or recreation areas.",2.64,3.83,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5127,"Rent, sell, or issue sporting equipment and supplies, such as bowling shoes, golf balls, swimming suits, or beach chairs.",2.8,4.46,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5128,"Verify, collect, or punch tickets before admitting patrons to venues, such as amusement parks and rides.",3.55,5.11,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5130,"Direct patrons to rides, seats, or attractions.",3.74,5.48,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5131,"Provide assistance to patrons entering or exiting amusement rides, boats, or ski lifts, or mounting or dismounting animals.",3.66,5.08,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5132,Sell and serve refreshments to customers.,2.93,4.03,unknown,0.0
39-3091.00,Amusement and Recreation Attendants,5133,"Schedule the use of recreation facilities, such as golf courses, tennis courts, bowling alleys, or softball diamonds.",3.04,4.09,unknown,0.5
39-3091.00,Amusement and Recreation Attendants,5134,"Maintain inventories of equipment, storing and retrieving items and assembling and disassembling equipment as necessary.",3.52,4.4,unknown,0.0
39-3092.00,Costume Attendants,20898,Provide dressing assistance to cast members or assign cast dressers to assist specific cast members with costume changes.,4.2,4.51,unknown,0.0
39-3092.00,Costume Attendants,9615,Distribute costumes or related equipment and keep records of item status.,3.95,4.18,unknown,1.0
39-3092.00,Costume Attendants,9616,Arrange costumes in order of use to facilitate quick-change procedures for performances.,4.07,4.36,unknown,0.0
39-3092.00,Costume Attendants,9617,Return borrowed or rented items when productions are complete and return other items to storage.,3.31,2.9,automation,0.0
39-3092.00,Costume Attendants,9618,Clean and press costumes before and after performances and perform any minor repairs.,3.82,3.88,unknown,0.0
39-3092.00,Costume Attendants,9619,"Assign lockers to employees and maintain locker rooms, dressing rooms, wig rooms, or costume storage or laundry areas.",3.34,3.62,unknown,0.0
39-3092.00,Costume Attendants,9621,"Design or construct costumes or send them to tailors for construction, major repairs, or alterations.",3.97,4.35,none,0.0
39-3092.00,Costume Attendants,9622,"Purchase, rent, or requisition costumes or other wardrobe necessities.",3.49,2.9,unknown,0.0
39-3092.00,Costume Attendants,9623,Check the appearance of costumes on stage or under lights to determine whether desired effects are being achieved.,3.94,3.65,unknown,0.5
39-3092.00,Costume Attendants,9624,Inventory stock to determine types or conditions of available costuming.,3.01,2.42,unknown,0.5
39-3092.00,Costume Attendants,9625,"Collaborate with production designers, costume designers, or other production staff to discuss and execute costume design details.",3.74,3.3,unknown,0.0
39-3092.00,Costume Attendants,9626,"Monitor, maintain, or secure inventories of costumes, wigs, or makeup, providing keys or access to assigned directors, costume designers, or wardrobe mistresses/masters.",3.68,3.96,unknown,0.0
39-3092.00,Costume Attendants,9627,"Create worksheets for dressing lists, show notes, or costume checks.",4.2,3.84,unknown,1.0
39-3092.00,Costume Attendants,9628,Direct the work of wardrobe crews during dress rehearsals or performances.,3.4,3.16,unknown,0.0
39-3092.00,Costume Attendants,9629,Examine costume fit on cast members and sketch or write notes for alterations.,3.97,3.57,unknown,0.5
39-3092.00,Costume Attendants,9630,"Review scripts or other production information to determine a story's locale or period, as well as the number of characters and required costumes.",3.3,2.37,none,0.5
39-3092.00,Costume Attendants,9631,Recommend vendors and monitor their work.,2.67,2.25,unknown,0.0
39-3092.00,Costume Attendants,9632,"Study books, pictures, or examples of period clothing to determine styles worn during specific periods in history.",3.33,2.6,unknown,0.5
39-3092.00,Costume Attendants,9633,"Provide managers with budget recommendations and take responsibility for budgetary line items related to costumes, storage, or makeup needs.",3.36,2.64,augmentation,0.5
39-3092.00,Costume Attendants,9634,"Participate in the hiring, training, scheduling, or supervision of alteration workers.",3.37,2.87,unknown,0.0
39-3092.00,Costume Attendants,9635,"Care for non-clothing items, such as flags, table skirts, or draperies.",2.48,2.69,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",20134,Clean facilities such as floors or locker rooms.,4.13,5.23,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4465,"Assign dressing room facilities, locker space, or clothing containers to patrons of athletic or bathing establishments.",4.32,5.39,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4466,"Answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",4.05,5.13,augmentation,1.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4467,"Check supplies to ensure adequate availability, and order new supplies when necessary.",4.31,4.73,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4468,Refer guest problems or complaints to supervisors.,4.03,3.89,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4469,"Clean and polish footwear, using brushes, sponges, cleaning fluid, polishes, waxes, liquid or sole dressing, and daubers.",4.58,6.14,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4470,"Report and document safety hazards, potentially hazardous conditions, and unsafe practices and procedures.",3.46,2.91,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4471,Operate washing machines and dryers to clean soiled apparel and towels.,3.92,4.97,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4472,"Monitor patrons' facility use to ensure that rules and regulations are followed, and safety and order are maintained.",4.19,5.0,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4473,"Procure beverages, food, and other items as requested.",4.13,5.63,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4474,"Activate emergency action plans and administer first aid, as necessary.",4.33,2.14,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4475,"Store personal possessions for patrons, issue claim checks for articles stored, and return articles on receipt of checks.",4.02,4.86,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4476,"Provide towels and sheets to clients in public baths, steam rooms, and restrooms.",4.45,5.83,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4477,Collect soiled linen or clothing for laundering.,4.1,5.69,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4478,Operate controls that regulate temperatures or room environments.,3.89,4.66,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4479,Attend to needs of athletic teams in clubhouses.,3.9,4.97,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4480,Provide assistance to patrons by performing duties such as opening doors or carrying bags.,3.89,4.8,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4481,Stencil identifying information on equipment.,3.3,3.59,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4482,"Maintain inventories of clothing or uniforms, accessories, equipment, or linens.",3.91,4.81,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4483,"Issue gym clothes, uniforms, towels, athletic equipment, and special athletic apparel.",3.77,5.47,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4484,Maintain a lost-and-found collection.,3.68,4.28,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4485,Set up various apparatus or athletic equipment.,2.72,3.53,unknown,0.0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4486,"Provide or arrange for services such as clothes pressing, cleaning, or repair.",3.68,4.6,unknown,0.0
39-4011.00,Embalmers,20257,Remove the deceased from place of death and transport to funeral home.,4.61,4.55,unknown,0.0
39-4011.00,Embalmers,23930,Clean and disinfect areas in which bodies are prepared and embalmed.,4.66,4.32,unknown,0.0
39-4011.00,Embalmers,4487,Conform to laws of health and sanitation and ensure that legal requirements concerning embalming are met.,4.85,4.84,unknown,0.0
39-4011.00,Embalmers,4488,Apply cosmetics to impart lifelike appearance to the deceased.,4.74,4.49,unknown,0.0
39-4011.00,Embalmers,4489,"Incise stomach and abdominal walls and probe internal organs, using trocar, to withdraw blood and waste matter from organs.",4.67,4.33,unknown,0.0
39-4011.00,Embalmers,4490,"Close incisions, using needles and sutures.",4.67,4.4,unknown,0.0
39-4011.00,Embalmers,4491,"Reshape or reconstruct disfigured or maimed bodies when necessary, using dermasurgery techniques and materials such as clay, cotton, plaster of Paris, and wax.",4.52,2.22,unknown,0.0
39-4011.00,Embalmers,4492,"Make incisions in arms or thighs and drain blood from circulatory system and replace it with embalming fluid, using pump.",4.63,4.06,unknown,0.0
39-4011.00,Embalmers,4493,Dress bodies and place them in caskets.,4.65,4.57,unknown,0.0
39-4011.00,Embalmers,4494,"Perform the duties of funeral directors, including coordinating funeral activities.",4.57,4.27,unknown,0.0
39-4011.00,Embalmers,4495,"Join lips, using needles and thread or wire.",4.74,4.25,unknown,0.0
39-4011.00,Embalmers,4496,"Conduct interviews to arrange for the preparation of obituary notices, to assist with the selection of caskets or urns, and to determine the location and time of burials or cremations.",4.51,4.1,unknown,0.0
39-4011.00,Embalmers,4497,"Attach trocar to pump-tube, start pump, and repeat probing to force embalming fluid into organs.",4.54,4.05,unknown,0.0
39-4011.00,Embalmers,4498,"Perform special procedures necessary for remains that are to be transported to other states or overseas, or where death was caused by infectious disease.",4.21,2.41,unknown,0.0
39-4011.00,Embalmers,4499,"Maintain records, such as itemized lists of clothing or valuables delivered with body and names of persons embalmed.",4.35,4.85,unknown,1.0
39-4011.00,Embalmers,4500,Insert convex celluloid or cotton between eyeballs and eyelids to prevent slipping and sinking of eyelids.,4.49,4.23,unknown,0.0
39-4011.00,Embalmers,4501,"Wash and dry bodies, using germicidal soap and towels or hot air dryers.",4.31,4.65,unknown,0.0
39-4011.00,Embalmers,4502,Arrange for transporting the deceased to another state for interment.,4.27,2.46,unknown,0.0
39-4011.00,Embalmers,4503,Supervise funeral attendants and other funeral home staff.,4.18,4.12,unknown,0.0
39-4011.00,Embalmers,4504,Pack body orifices with cotton saturated with embalming fluid to prevent escape of gases or waste matter.,4.52,3.07,unknown,0.0
39-4011.00,Embalmers,4505,Assist with placing caskets in hearses and organize cemetery processions.,4.38,3.96,unknown,0.0
39-4011.00,Embalmers,4506,"Serve as pallbearers, attend visiting rooms, and provide other assistance to the bereaved.",4.16,3.9,unknown,0.0
39-4011.00,Embalmers,4507,Direct casket and floral display placement and arrange guest seating.,4.1,4.04,unknown,0.0
39-4011.00,Embalmers,4508,Arrange funeral home equipment and perform general maintenance.,4.0,4.62,unknown,0.0
39-4011.00,Embalmers,4509,"Assist coroners at death scenes or at autopsies, file police reports, and testify at inquests or in court, if employed by a coroner.",3.58,1.78,unknown,0.0
39-4011.00,Embalmers,4510,Press diaphragm to evacuate air from lungs.,2.89,3.02,unknown,0.0
39-4021.00,Funeral Attendants,20597,Transport the deceased to the funeral home.,4.54,3.17,unknown,0.0
39-4021.00,Funeral Attendants,20598,"Attend to the needs of the bereaved, such as by offering comfort, counseling, or after-care programs.",4.35,3.89,unknown,0.0
39-4021.00,Funeral Attendants,20599,"Perform various administrative tasks, such as typing documents or answering telephone calls.",4.15,4.86,unknown,1.0
39-4021.00,Funeral Attendants,20600,Supervise funeral processions and assist with cemetery parking.,3.97,3.64,unknown,0.0
39-4021.00,Funeral Attendants,20601,Deliver floral arrangements or other items to family members of the deceased.,3.88,3.31,unknown,0.0
39-4021.00,Funeral Attendants,20602,"Perform general maintenance tasks for funeral homes, such as maintaining equipment or caring for funeral grounds.",3.82,3.82,unknown,0.0
39-4021.00,Funeral Attendants,20603,"Embalm, dress, cosmeticize, and casket the deceased.",4.67,4.01,unknown,0.0
39-4021.00,Funeral Attendants,20605,"Obtain doctors' signatures on death certificate and complete other paperwork, such as insurance claims forms.",4.54,4.01,unknown,1.0
39-4021.00,Funeral Attendants,20607,Prepare obituaries for newspapers.,4.57,3.65,unknown,1.0
39-4021.00,Funeral Attendants,4511,Perform a variety of tasks during funerals to assist funeral directors and to ensure that services run smoothly and as planned.,4.44,4.36,unknown,0.0
39-4021.00,Funeral Attendants,4512,Greet people at the funeral home.,4.52,4.56,unknown,0.0
39-4021.00,Funeral Attendants,4513,Offer assistance to mourners as they enter or exit limousines.,4.29,3.63,unknown,0.0
39-4021.00,Funeral Attendants,4514,Close caskets at appropriate point in services.,4.38,3.68,unknown,0.0
39-4021.00,Funeral Attendants,4516,Obtain burial permits and register deaths.,4.54,3.85,unknown,1.0
39-4021.00,Funeral Attendants,4517,Direct or escort mourners to parlors or chapels in which wakes or funerals are being held.,4.35,4.1,unknown,0.0
39-4021.00,Funeral Attendants,4518,Place caskets in parlors or chapels prior to wakes or funerals.,4.32,4.08,unknown,0.0
39-4021.00,Funeral Attendants,4519,"Clean and drive funeral vehicles, such as cars or hearses, in funeral processions.",3.98,3.79,unknown,0.0
39-4021.00,Funeral Attendants,4520,Carry flowers to hearses or limousines for transportation to places of interment.,3.83,3.92,unknown,0.0
39-4021.00,Funeral Attendants,4521,Clean funeral parlors or chapels.,4.09,3.93,unknown,0.0
39-4021.00,Funeral Attendants,4522,Arrange floral offerings or lights around caskets.,4.07,4.01,unknown,0.0
39-4021.00,Funeral Attendants,4523,Provide advice to mourners on how to make charitable donations in honor of the deceased.,3.57,3.42,unknown,1.0
39-4021.00,Funeral Attendants,4525,Issue and store funeral equipment.,3.71,3.77,unknown,0.0
39-4021.00,Funeral Attendants,4526,Assist with cremations and the processing and packaging of cremated remains.,4.52,3.45,unknown,0.0
39-4021.00,Funeral Attendants,4527,Act as pallbearers.,3.98,3.13,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",15200,"Plan, schedule, or coordinate funerals, burials, or cremations, arranging details such as floral delivery or the time and place of services.",4.59,4.19,none,0.5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",15201,"Manage funeral home operations, including the hiring, training, or supervision of embalmers, funeral attendants, or other staff.",3.84,3.46,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",15202,Clean funeral home facilities and grounds.,3.88,4.15,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",15203,Participate in community activities for funeral home promotion or other purposes.,3.66,2.66,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",21009,Remove deceased remains from place of death.,4.7,3.83,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3332,"Consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services.",4.78,4.29,none,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3334,"Obtain information needed to complete legal documents, such as death certificates or burial permits.",4.82,4.38,unknown,1.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3335,Oversee the preparation and care of the remains of people who have died.,4.83,4.16,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3336,Contact cemeteries to schedule the opening and closing of graves.,4.66,4.03,unknown,0.5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3337,"Provide information on funeral service options, products, or merchandise, and maintain a casket display area.",4.46,4.24,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3339,Offer counsel and comfort to bereaved families or friends.,4.45,4.42,augmentation,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3340,Close caskets and lead funeral corteges to churches or burial sites.,4.48,4.08,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3341,Arrange for clergy members to perform needed services.,4.1,3.95,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3342,"Provide or arrange transportation between sites for the remains, mourners, pallbearers, clergy, or flowers.",4.13,4.24,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3343,"Perform embalming duties, as necessary.",4.8,4.09,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3344,Direct preparations and shipment of bodies for out-of-state burial.,4.28,2.62,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3345,Discuss and negotiate prearranged funerals with clients.,4.21,3.52,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3346,Inform survivors of benefits for which they may be eligible.,3.79,3.91,unknown,0.5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3347,"Maintain financial records, order merchandise, or prepare accounts.",4.17,3.95,none,1.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3348,"Plan placement of caskets at funeral sites or place or adjust lights, fixtures, or floral displays.",4.07,4.07,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3349,Arrange for pallbearers or inform pallbearers or honorary groups of their duties.,3.75,3.95,unknown,0.0
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3350,Receive or usher people to their seats for services.,3.67,3.96,unknown,0.0
39-5011.00,Barbers,8049,"Clean and sterilize scissors, combs, clippers, and other instruments.",4.93,6.39,unknown,0.0
39-5011.00,Barbers,8050,"Cut and trim hair according to clients' instructions or current hairstyles, using clippers, combs, hand-held blow driers, and scissors.",4.92,6.43,unknown,0.0
39-5011.00,Barbers,8051,Drape and pin protective cloths around customers' shoulders.,4.92,6.5,unknown,0.0
39-5011.00,Barbers,8052,Question patrons regarding desired services and haircut styles.,4.8,6.02,unknown,0.0
39-5011.00,Barbers,8053,Clean work stations and sweep floors.,4.73,6.32,unknown,0.0
39-5011.00,Barbers,8054,Record services provided on cashiers' tickets or receive payment from customers.,4.21,5.65,unknown,0.0
39-5011.00,Barbers,8055,Order supplies.,3.61,2.85,unknown,0.5
39-5011.00,Barbers,8056,"Shape and trim beards and moustaches, using scissors.",4.19,5.29,unknown,0.0
39-5011.00,Barbers,8057,Stay informed of the latest styles and hair care techniques.,3.78,3.92,augmentation,0.5
39-5011.00,Barbers,8058,Suggest treatments to alleviate hair problems.,3.72,4.24,none,0.0
39-5011.00,Barbers,8059,Shampoo hair.,3.25,3.8,unknown,0.0
39-5011.00,Barbers,8060,"Keep card files on clientele, recording notes of work done, products used and fees charged after each visit.",3.16,4.22,unknown,1.0
39-5011.00,Barbers,8061,"Perform clerical and administrative duties such as keeping records, paying bills, and hiring and supervising personnel.",4.13,4.91,unknown,1.0
39-5011.00,Barbers,8062,"Curl, color, or straighten hair, using special chemical solutions and equipment.",2.97,2.7,unknown,0.0
39-5011.00,Barbers,8063,"Apply lather and shave beards or neck and temple hair contours, using razors.",4.38,5.46,unknown,0.0
39-5011.00,Barbers,8065,"Recommend and sell lotions, tonics, or other cosmetic supplies.",3.14,4.03,unknown,0.0
39-5011.00,Barbers,8066,"Provide face, neck, and scalp massages.",2.6,2.83,unknown,0.0
39-5011.00,Barbers,8067,Provide skin care and nail treatments.,3.27,3.51,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",20899,"Order, display, and maintain supplies.",4.19,4.45,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",635,"Keep work stations clean and sanitize tools, such as scissors and combs.",4.62,6.28,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",636,"Cut, trim and shape hair or hairpieces, based on customers' instructions, hair type, and facial features, using clippers, scissors, trimmers and razors.",4.49,6.17,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",637,Analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,4.39,5.67,none,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",638,Schedule client appointments.,4.47,6.29,unknown,0.5
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",639,"Bleach, dye, or tint hair, using applicator or brush.",4.58,5.17,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",640,"Update and maintain customer information records, such as beauty services provided.",4.45,5.66,unknown,1.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",641,"Shampoo, rinse, condition, and dry hair and scalp or hairpieces with water, liquid soap, or other solutions.",4.34,5.95,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",642,Operate cash registers to receive payments from patrons.,4.33,6.15,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",643,Demonstrate and sell hair care products and cosmetics.,4.43,5.78,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",644,Develop new styles and techniques.,4.13,5.05,none,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",645,"Apply water or setting, straightening or waving solutions to hair, and use curlers, rollers, hot combs and curling irons to press and curl hair.",4.1,5.15,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",646,"Comb, brush, and spray hair or wigs to set style.",4.15,5.67,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",647,"Shape eyebrows and remove facial hair, using depilatory cream, tweezers, electrolysis or wax.",3.87,4.69,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",648,Administer therapeutic medication and advise patron to seek medical treatment for chronic or contagious scalp conditions.,4.21,2.93,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",649,"Massage and treat scalp for hygienic and remedial purposes, using hands, fingers, or vibrating equipment.",4.35,5.31,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",650,"Shave, trim, and shape beards and moustaches.",3.73,4.31,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",651,"Train or supervise other hairstylists, hairdressers, and assistants.",4.38,4.17,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",652,"Recommend and explain the use of cosmetics, lotions, and creams to soften and lubricate skin and enhance and restore natural appearance.",4.09,4.47,none,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",653,"Give facials to patrons, using special compounds, such as lotions and creams.",3.06,2.46,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",654,"Clean, shape, and polish fingernails and toenails, using files and nail polish.",3.85,4.44,unknown,0.0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",656,"Attach wigs or hairpieces to model heads and dress wigs and hairpieces according to instructions, samples, sketches or photographs.",2.81,1.69,unknown,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",14797,Confer with stage or motion picture officials and performers to determine desired effects.,4.32,4.27,unknown,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",14798,Duplicate work precisely to replicate characters' appearances on a daily basis.,4.5,3.77,unknown,0.5
39-5091.00,"Makeup Artists, Theatrical and Performance",14799,"Establish budgets, and work within budgetary limits.",4.29,3.52,none,0.5
39-5091.00,"Makeup Artists, Theatrical and Performance",14800,Apply makeup to enhance or alter the appearance of people appearing in productions such as movies.,4.59,4.64,unknown,0.5
39-5091.00,"Makeup Artists, Theatrical and Performance",14801,Alter or maintain makeup during productions as necessary to compensate for lighting changes or to achieve continuity of effect.,4.48,4.87,unknown,0.5
39-5091.00,"Makeup Artists, Theatrical and Performance",14802,"Select desired makeup shades from stock, or mix oil, grease, and coloring to achieve specific color effects.",4.52,4.87,unknown,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",14803,Cleanse and tone the skin to prepare it for makeup application.,4.5,5.05,unknown,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",14804,Assess performers' skin type to ensure that makeup will not cause break-outs or skin irritations.,4.48,4.65,unknown,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",14805,"Analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",4.4,3.9,augmentation,0.5
39-5091.00,"Makeup Artists, Theatrical and Performance",14806,"Requisition or acquire needed materials for special effects, including wigs, beards, and special cosmetics.",4.05,3.14,unknown,0.0
