soc_code,artistic,conventional,enterprising,investigative,realistic,social
53-6021.00,1.12,4.96,3.18,1.0,5.79,3.03
53-6031.00,1.0,4.38,2.15,1.32,6.4,1.97
53-6032.00,1.0,4.16,2.1,1.83,6.11,1.87
53-6041.00,1.34,4.59,1.84,4.3,5.05,1.88
53-6051.00,1.0,6.14,2.65,2.92,5.69,1.55
53-6051.01,1.0,5.73,2.59,4.09,5.57,1.43
53-6051.07,1.0,5.14,1.35,3.72,7.0,1.0
53-6061.00,1.0,4.3,3.07,1.07,4.04,4.27
53-7011.00,1.0,4.75,2.79,1.31,6.35,1.34
53-7021.00,1.0,3.95,1.31,2.22,7.0,1.2
53-7031.00,1.0,3.48,2.33,2.99,6.63,1.36
53-7041.00,1.07,3.33,1.45,1.55,6.89,1.45
53-7051.00,1.0,3.73,1.19,1.75,7.0,1.14
53-7061.00,1.0,3.86,1.0,1.07,7.0,1.18
53-7062.00,1.0,4.6,1.81,1.0,6.13,1.43
53-7062.04,1.0,4.39,1.59,2.04,6.28,1.28
53-7063.00,1.0,4.6,1.0,2.04,7.0,1.0
53-7064.00,1.32,5.66,2.46,1.44,5.52,1.39
53-7065.00,1.0,6.35,3.3,1.0,4.58,1.94
53-7071.00,1.0,4.85,1.52,2.33,6.14,1.54
53-7072.00,1.0,4.51,1.46,2.26,6.67,1.28
53-7073.00,1.0,4.36,1.87,2.41,6.77,1.07
53-7081.00,1.0,4.41,1.55,1.77,7.0,1.39
53-7121.00,1.0,4.68,1.31,1.94,6.86,1.0
